data	port	towar	Z/W	ile ton	cena za tone w talarach
01.01.2016	Algier	T4	Z	3	80
01.01.2016	Algier	T5	Z	32	50
01.01.2016	Algier	T1	Z	38	10
01.01.2016	Algier	T2	Z	33	30
01.01.2016	Algier	T3	Z	43	25
16.01.2016	Tunis	T5	W	32	58
16.01.2016	Tunis	T2	Z	14	26
24.01.2016	Benghazi	T5	Z	44	46
24.01.2016	Benghazi	T2	Z	1	28
24.01.2016	Benghazi	T4	Z	21	74
19.02.2016	Aleksandria	T3	W	43	32
19.02.2016	Aleksandria	T1	W	38	13
19.02.2016	Aleksandria	T4	Z	9	59
19.02.2016	Aleksandria	T5	Z	8	37
11.03.2016	Bejrut	T5	W	50	61
11.03.2016	Bejrut	T3	Z	32	20
11.03.2016	Bejrut	T1	Z	7	8
11.03.2016	Bejrut	T2	Z	10	24
04.04.2016	Palermo	T1	W	7	12
04.04.2016	Palermo	T3	Z	25	19
04.04.2016	Palermo	T5	Z	33	38
22.04.2016	Neapol	T2	W	36	35
22.04.2016	Neapol	T4	Z	5	66
22.04.2016	Neapol	T5	Z	35	41
14.05.2016	Monako	T4	W	38	98
14.05.2016	Monako	T2	Z	10	23
08.06.2016	Barcelona	T2	W	4	38
08.06.2016	Barcelona	T4	Z	42	60
08.06.2016	Barcelona	T1	Z	28	8
08.06.2016	Barcelona	T3	Z	19	19
21.06.2016	Walencja	T3	W	72	28
21.06.2016	Walencja	T4	W	42	90
21.06.2016	Walencja	T5	Z	42	44
21.06.2016	Walencja	T2	Z	33	26
21.06.2016	Walencja	T1	Z	9	9
08.07.2016	Algier	T3	W	4	29
08.07.2016	Algier	T1	W	37	12
08.07.2016	Algier	T5	Z	35	42
08.07.2016	Algier	T4	Z	32	66
23.07.2016	Tunis	T4	W	32	92
23.07.2016	Tunis	T5	Z	48	43
11.08.2016	Benghazi	T5	W	191	60
11.08.2016	Benghazi	T2	Z	9	24
11.08.2016	Benghazi	T4	Z	36	65
06.09.2016	Aleksandria	T1	Z	47	7
06.09.2016	Aleksandria	T5	W	4	63
06.09.2016	Aleksandria	T3	Z	8	19
06.09.2016	Aleksandria	T2	Z	3	22
06.09.2016	Aleksandria	T4	Z	41	59
27.09.2016	Bejrut	T5	Z	44	40
27.09.2016	Bejrut	T1	W	45	12
27.09.2016	Bejrut	T3	Z	40	20
27.09.2016	Bejrut	T4	Z	3	63
27.09.2016	Bejrut	T2	Z	17	24
21.10.2016	Palermo	T1	W	2	12
21.10.2016	Palermo	T3	Z	14	19
21.10.2016	Palermo	T2	Z	23	23
08.11.2016	Neapol	T1	Z	11	8
08.11.2016	Neapol	T4	Z	17	66
08.11.2016	Neapol	T5	Z	30	41
30.11.2016	Monako	T4	W	97	98
30.11.2016	Monako	T1	W	11	12
30.11.2016	Monako	T3	Z	17	20
30.11.2016	Monako	T2	Z	4	23
25.12.2016	Barcelona	T3	W	79	31
25.12.2016	Barcelona	T4	Z	33	60
25.12.2016	Barcelona	T2	Z	26	23
07.01.2017	Walencja	T3	Z	40	22
07.01.2017	Walencja	T1	Z	42	9
07.01.2017	Walencja	T2	Z	42	26
07.01.2017	Walencja	T4	Z	9	70
07.01.2017	Walencja	T5	Z	39	44
24.01.2017	Algier	T5	W	112	59
24.01.2017	Algier	T4	Z	34	66
24.01.2017	Algier	T3	Z	5	21
08.02.2017	Tunis	T4	W	74	92
08.02.2017	Tunis	T2	Z	14	26
27.02.2017	Benghazi	T5	W	1	60
27.02.2017	Benghazi	T2	W	43	36
27.02.2017	Benghazi	T1	Z	30	8
27.02.2017	Benghazi	T3	Z	14	20
25.03.2017	Aleksandria	T2	W	33	38
25.03.2017	Aleksandria	T5	Z	35	37
25.03.2017	Aleksandria	T3	Z	40	19
15.04.2017	Bejrut	T2	W	21	36
15.04.2017	Bejrut	T4	W	2	97
15.04.2017	Bejrut	T3	Z	12	20
15.04.2017	Bejrut	T1	Z	15	8
15.04.2017	Bejrut	T5	Z	1	40
09.05.2017	Palermo	T1	W	86	12
09.05.2017	Palermo	T3	W	110	31
09.05.2017	Palermo	T5	Z	33	38
09.05.2017	Palermo	T2	Z	13	23
09.05.2017	Palermo	T4	Z	37	61
27.05.2017	Neapol	T1	W	1	12
27.05.2017	Neapol	T5	W	68	59
27.05.2017	Neapol	T4	Z	35	66
27.05.2017	Neapol	T3	Z	25	21
27.05.2017	Neapol	T2	Z	10	25
18.06.2017	Monako	T2	W	38	37
18.06.2017	Monako	T1	Z	22	8
18.06.2017	Monako	T3	Z	25	20
18.06.2017	Monako	T5	Z	8	39
18.06.2017	Monako	T4	Z	45	62
13.07.2017	Barcelona	T4	W	116	100
13.07.2017	Barcelona	T3	Z	29	19
26.07.2017	Walencja	T2	W	5	34
26.07.2017	Walencja	T1	W	22	11
26.07.2017	Walencja	T3	Z	37	22
26.07.2017	Walencja	T4	Z	10	70
26.07.2017	Walencja	T5	Z	42	44
12.08.2017	Algier	T4	W	11	94
12.08.2017	Algier	T5	W	48	59
12.08.2017	Algier	T3	Z	20	21
12.08.2017	Algier	T2	Z	26	25
27.08.2017	Tunis	T1	Z	24	9
27.08.2017	Tunis	T4	Z	38	68
27.08.2017	Tunis	T3	Z	14	21
27.08.2017	Tunis	T5	Z	4	43
15.09.2017	Benghazi	T2	W	19	36
15.09.2017	Benghazi	T4	Z	30	65
11.10.2017	Aleksandria	T5	W	6	63
11.10.2017	Aleksandria	T4	Z	43	59
01.11.2017	Bejrut	T5	W	1	61
01.11.2017	Bejrut	T3	W	147	30
01.11.2017	Bejrut	T1	Z	15	8
01.11.2017	Bejrut	T4	Z	24	63
01.11.2017	Bejrut	T2	Z	19	24
25.11.2017	Palermo	T4	W	134	99
25.11.2017	Palermo	T5	Z	12	38
13.12.2017	Neapol	T3	W	4	30
13.12.2017	Neapol	T1	Z	26	8
13.12.2017	Neapol	T4	Z	38	66
04.01.2018	Monako	T4	W	38	98
04.01.2018	Monako	T2	W	44	37
04.01.2018	Monako	T1	Z	21	8
04.01.2018	Monako	T5	Z	10	39
29.01.2018	Barcelona	T2	W	15	38
29.01.2018	Barcelona	T5	W	22	63
29.01.2018	Barcelona	T4	Z	9	60
29.01.2018	Barcelona	T3	Z	6	19
29.01.2018	Barcelona	T1	Z	4	8
30.01.2018	Walencja	T3	W	6	25
30.01.2018	Walencja	T4	Z	48	79
16.02.2018	Algier	T5	Z	34	42
16.02.2018	Algier	T2	W	49	35
16.02.2018	Algier	T1	Z	10	8
16.02.2018	Algier	T3	Z	47	21
16.02.2018	Algier	T4	Z	48	66
03.03.2018	Tunis	T5	W	34	58
03.03.2018	Tunis	T1	Z	5	9
22.03.2018	Benghazi	T3	W	46	30
22.03.2018	Benghazi	T4	Z	49	65
22.03.2018	Benghazi	T1	Z	16	8
17.04.2018	Aleksandria	T5	Z	5	37
17.04.2018	Aleksandria	T3	W	1	32
17.04.2018	Aleksandria	T1	Z	34	7
17.04.2018	Aleksandria	T4	Z	29	59
08.05.2018	Bejrut	T2	Z	34	24
08.05.2018	Bejrut	T3	Z	27	20
08.05.2018	Bejrut	T1	Z	40	8
01.06.2018	Palermo	T4	W	184	99
01.06.2018	Palermo	T5	Z	48	38
01.06.2018	Palermo	T2	Z	21	23
19.06.2018	Neapol	T4	Z	47	66
19.06.2018	Neapol	T2	Z	6	25
19.06.2018	Neapol	T5	Z	47	41
11.07.2018	Monako	T1	W	192	12
11.07.2018	Monako	T2	W	48	37
11.07.2018	Monako	T4	Z	18	62
11.07.2018	Monako	T5	Z	25	39
11.07.2018	Monako	T3	Z	2	20
05.08.2018	Barcelona	T2	W	13	38
05.08.2018	Barcelona	T5	W	121	63
05.08.2018	Barcelona	T3	Z	30	19
05.08.2018	Barcelona	T1	Z	46	8
18.08.2018	Walencja	T1	W	49	11
18.08.2018	Walencja	T4	W	61	90
18.08.2018	Walencja	T3	Z	19	22
18.08.2018	Walencja	T5	Z	22	44
04.09.2018	Algier	T2	Z	9	25
04.09.2018	Algier	T4	W	4	94
04.09.2018	Algier	T3	Z	8	21
04.09.2018	Algier	T1	Z	47	8
19.09.2018	Tunis	T3	W	82	29
19.09.2018	Tunis	T5	W	26	58
19.09.2018	Tunis	T1	Z	24	9
19.09.2018	Tunis	T2	Z	36	26
19.09.2018	Tunis	T4	Z	6	68
08.10.2018	Benghazi	T2	W	45	36
08.10.2018	Benghazi	T1	Z	18	8
08.10.2018	Benghazi	T5	Z	20	41
03.11.2018	Aleksandria	T3	W	4	32
03.11.2018	Aleksandria	T5	Z	48	37
24.11.2018	Bejrut	T5	W	64	61
24.11.2018	Bejrut	T4	Z	43	63
24.11.2018	Bejrut	T2	Z	24	24
18.12.2018	Palermo	T5	W	4	62
18.12.2018	Palermo	T3	Z	35	19
18.12.2018	Palermo	T1	Z	41	8
18.12.2018	Palermo	T4	Z	23	61
18.12.2018	Palermo	T2	Z	46	23
